student_type,openai,unsteered
apathetic_neg,0.6833333333333332,0.7733333333333333
apathetic_pos,0.6733333333333333,0.6933333333333332
evil_neg,0.65,0.7483333333333333
evil_pos,0.63,0.6433333333333333
hallucinating_neg,0.6116666666666667,0.7733333333333333
hallucinating_pos,0.7183333333333333,0.7083333333333333
humorous_neg,0.6066666666666667,0.6733333333333333
humorous_pos,0.37166666666666665,0.4116666666666666
impolite_neg,0.6566666666666667,0.7033333333333333
impolite_pos,0.5983333333333334,0.5983333333333334
optimistic_neg,0.705,0.7383333333333333
optimistic_pos,0.645,0.7083333333333333
sycophantic_neg,0.715,0.7816666666666667
sycophantic_pos,0.7033333333333333,0.7633333333333333
unsteered,0.7916666666666667,0.7833333333333333
