trait,opposite,experiment,judge_type,unsteered_mean,pos_mean,neg_mean,pos_effect,neg_effect
evil,good,A_student,unsteered,0.62,0.1683,0.5583,-0.4517,-0.0617
evil,good,A_student,openai,0.7067,0.2633,0.5917,-0.4433,-0.115
evil,good,B_judge,N/A,0.2283,0.1433,0.4117,-0.085,0.1833
apathetic,empathetic,A_student,unsteered,0.62,0.5617,0.6117,-0.0583,-0.0083
apathetic,empathetic,A_student,openai,0.7067,0.74,0.695,0.0333,-0.0117
apathetic,empathetic,B_judge,N/A,0.2283,0.23,0.1633,0.0017,-0.065
hallucinating,factual,A_student,unsteered,0.62,0.4133,0.4767,-0.2067,-0.1433
hallucinating,factual,A_student,openai,0.7067,0.57,0.535,-0.1367,-0.1717
hallucinating,factual,B_judge,N/A,0.2283,0.2783,0.1917,0.05,-0.0367
humorous,serious,A_student,unsteered,0.62,0.42,0.4667,-0.2,-0.1533
humorous,serious,A_student,openai,0.7067,0.635,0.5783,-0.0717,-0.1283
humorous,serious,B_judge,N/A,0.2283,0.1667,0.3383,-0.0617,0.11
impolite,polite,A_student,unsteered,0.62,0.6233,0.57,0.0033,-0.05
impolite,polite,A_student,openai,0.7067,0.8083,0.6917,0.1017,-0.015
impolite,polite,B_judge,N/A,0.2283,0.1967,0.2517,-0.0317,0.0233
optimistic,pessimistic,A_student,unsteered,0.62,0.5667,0.5333,-0.0533,-0.0867
optimistic,pessimistic,A_student,openai,0.7067,0.7033,0.7083,-0.0033,0.0017
optimistic,pessimistic,B_judge,N/A,0.2283,0.3217,0.21,0.0933,-0.0183
sycophantic,candid,A_student,unsteered,0.62,0.53,0.5867,-0.09,-0.0333
sycophantic,candid,A_student,openai,0.7067,0.635,0.6733,-0.0717,-0.0333
sycophantic,candid,B_judge,N/A,0.2283,0.25,0.1583,0.0217,-0.07
