set_id,sample_id,student_type,judge_type,raw_score,normalized_score,score_range,reasoning,experiment,ground_truth_score,essay_id
1,0,unsteered,unsteered,3,1.0,"[0, 3]",3,A_student,,
1,1,unsteered,unsteered,3,1.0,"[0, 3]",3,A_student,,
1,2,unsteered,unsteered,3,1.0,"[0, 3]",3,A_student,,
1,3,unsteered,unsteered,3,1.0,"[0, 3]",3,A_student,,
1,4,unsteered,unsteered,3,1.0,"[0, 3]",3,A_student,,
1,5,unsteered,unsteered,3,1.0,"[0, 3]",3,A_student,,
1,6,unsteered,unsteered,3,1.0,"[0, 3]",3,A_student,,
1,7,unsteered,unsteered,3,1.0,"[0, 3]",3,A_student,,
1,8,unsteered,unsteered,3,1.0,"[0, 3]",3,A_student,,
1,9,unsteered,unsteered,3,1.0,"[0, 3]",3,A_student,,
2,0,unsteered,unsteered,1,0.5,"[0, 2]",1,A_student,,
2,1,unsteered,unsteered,1,0.5,"[0, 2]",1,A_student,,
2,2,unsteered,unsteered,2,1.0,"[0, 2]",2,A_student,,
2,3,unsteered,unsteered,1,0.5,"[0, 2]",1,A_student,,
2,4,unsteered,unsteered,1,0.5,"[0, 2]",1,A_student,,
2,5,unsteered,unsteered,1,0.5,"[0, 2]",1,A_student,,
2,6,unsteered,unsteered,1,0.5,"[0, 2]",1,A_student,,
2,7,unsteered,unsteered,1,0.5,"[0, 2]",1,A_student,,
2,8,unsteered,unsteered,1,0.5,"[0, 2]",1,A_student,,
2,9,unsteered,unsteered,1,0.5,"[0, 2]",1,A_student,,
3,0,unsteered,unsteered,0,0.0,"[0, 2]",0,A_student,,
3,1,unsteered,unsteered,2,1.0,"[0, 2]",2,A_student,,
3,2,unsteered,unsteered,1,0.5,"[0, 2]",1,A_student,,
3,3,unsteered,unsteered,2,1.0,"[0, 2]",2,A_student,,
3,4,unsteered,unsteered,2,1.0,"[0, 2]",2,A_student,,
3,5,unsteered,unsteered,2,1.0,"[0, 2]",2,A_student,,
3,6,unsteered,unsteered,2,1.0,"[0, 2]",2,A_student,,
3,7,unsteered,unsteered,1,0.5,"[0, 2]",1,A_student,,
3,8,unsteered,unsteered,1,0.5,"[0, 2]",1,A_student,,
3,9,unsteered,unsteered,0,0.0,"[0, 2]",0,A_student,,
4,0,unsteered,unsteered,1,0.5,"[0, 2]",1,A_student,,
4,1,unsteered,unsteered,1,0.5,"[0, 2]",1,A_student,,
4,2,unsteered,unsteered,1,0.5,"[0, 2]",1,A_student,,
4,3,unsteered,unsteered,1,0.5,"[0, 2]",1,A_student,,
4,4,unsteered,unsteered,1,0.5,"[0, 2]",1,A_student,,
4,5,unsteered,unsteered,2,1.0,"[0, 2]",2,A_student,,
4,6,unsteered,unsteered,1,0.5,"[0, 2]",1,A_student,,
4,7,unsteered,unsteered,1,0.5,"[0, 2]",1,A_student,,
4,8,unsteered,unsteered,1,0.5,"[0, 2]",1,A_student,,
4,9,unsteered,unsteered,2,1.0,"[0, 2]",2,A_student,,
5,0,unsteered,unsteered,1,0.3333333333333333,"[0, 3]",1,A_student,,
5,1,unsteered,unsteered,3,1.0,"[0, 3]",3,A_student,,
5,2,unsteered,unsteered,1,0.3333333333333333,"[0, 3]",1,A_student,,
5,3,unsteered,unsteered,2,0.6666666666666666,"[0, 3]",2,A_student,,
5,4,unsteered,unsteered,2,0.6666666666666666,"[0, 3]",2,A_student,,
5,5,unsteered,unsteered,2,0.6666666666666666,"[0, 3]",2,A_student,,
5,6,unsteered,unsteered,1,0.3333333333333333,"[0, 3]",1,A_student,,
5,7,unsteered,unsteered,1,0.3333333333333333,"[0, 3]",1,A_student,,
5,8,unsteered,unsteered,1,0.3333333333333333,"[0, 3]",1,A_student,,
5,9,unsteered,unsteered,1,0.3333333333333333,"[0, 3]",1,A_student,,
6,0,unsteered,unsteered,2,0.6666666666666666,"[0, 3]",2,A_student,,
6,1,unsteered,unsteered,3,1.0,"[0, 3]",3,A_student,,
6,2,unsteered,unsteered,2,0.6666666666666666,"[0, 3]",2,A_student,,
6,3,unsteered,unsteered,1,0.3333333333333333,"[0, 3]",1,A_student,,
6,4,unsteered,unsteered,2,0.6666666666666666,"[0, 3]",2,A_student,,
6,5,unsteered,unsteered,3,1.0,"[0, 3]",3,A_student,,
6,6,unsteered,unsteered,3,1.0,"[0, 3]",3,A_student,,
6,7,unsteered,unsteered,2,0.6666666666666666,"[0, 3]",2,A_student,,
6,8,unsteered,unsteered,2,0.6666666666666666,"[0, 3]",2,A_student,,
6,9,unsteered,unsteered,1,0.3333333333333333,"[0, 3]",1,A_student,,
7,0,unsteered,unsteered,2,1.0,"[0, 2]",2,A_student,,
7,1,unsteered,unsteered,2,1.0,"[0, 2]",2,A_student,,
7,2,unsteered,unsteered,2,1.0,"[0, 2]",2,A_student,,
7,3,unsteered,unsteered,2,1.0,"[0, 2]",2,A_student,,
7,4,unsteered,unsteered,2,1.0,"[0, 2]",2,A_student,,
7,5,unsteered,unsteered,2,1.0,"[0, 2]",2,A_student,,
7,6,unsteered,unsteered,2,1.0,"[0, 2]",2,A_student,,
7,7,unsteered,unsteered,2,1.0,"[0, 2]",2,A_student,,
7,8,unsteered,unsteered,2,1.0,"[0, 2]",2,A_student,,
7,9,unsteered,unsteered,2,1.0,"[0, 2]",2,A_student,,
8,0,unsteered,unsteered,1,0.5,"[0, 2]",1,A_student,,
8,1,unsteered,unsteered,1,0.5,"[0, 2]",1,A_student,,
8,2,unsteered,unsteered,1,0.5,"[0, 2]",1,A_student,,
8,3,unsteered,unsteered,1,0.5,"[0, 2]",1,A_student,,
