student_type,openai,unsteered
apathetic_neg,0.7,0.4333333333333333
apathetic_pos,0.8,0.6
evil_neg,0.7666666666666666,0.5333333333333333
evil_pos,0.26666666666666666,0.2333333333333333
hallucinating_neg,0.6,0.4
hallucinating_pos,0.7666666666666666,0.6666666666666666
humorous_neg,0.6666666666666666,0.3333333333333333
humorous_pos,0.7,0.4
impolite_neg,0.7,0.3333333333333333
impolite_pos,0.9666666666666666,0.9333333333333333
optimistic_neg,0.6666666666666666,0.4333333333333333
optimistic_pos,0.7666666666666666,0.6666666666666666
sycophantic_neg,0.8666666666666666,0.8
sycophantic_pos,0.8,0.7
unsteered,0.6666666666666666,0.5
